station_id,source_station_id,station_name,network,city,state,latitude,longitude,access_code,connector_types,port_count,site_power_kw,traffic_score,traffic_segment,station_age_years,parking_capacity_estimate
CF-ST-47598,47598,Lithia Nissan - Clovis,Non-Networked,Clovis,CA,36.83686,-119.7173,private,J1772,1,7,85,high,6,11
CF-ST-47599,47599,Nissan - Serramonte,IN_CHARGE,Colma,CA,37.675406,-122.461036,private,CHADEMO|J1772COMBO,1,19,62,medium,2,11
CF-ST-47600,47600,Autocom Nissan - Concord,Non-Networked,Concord,CA,37.979485,-122.050262,private,J1772,1,19,76,high,1,9
CF-ST-47607,47607,Mossy Nissan - El Cajon,Non-Networked,El Cajon,CA,32.796398,-116.975765,private,CHADEMO|J1772|J1772COMBO,2,100,87,high,2,10
CF-ST-47609,47609,Mossy Nissan - Escondido,Non-Networked,Escondido,CA,33.116529,-117.106987,private,J1772,1,50,58,medium,3,9
CF-ST-47867,47867,Keating Nissan,Non-Networked,Conroe,TX,30.303243,-95.466743,private,J1772,1,150,46,low,5,12
CF-ST-48064,48064,Nissan of Vacaville,Non-Networked,Vacaville,CA,38.381291,-121.94132,private,J1772,1,150,86,high,8,10
CF-ST-48066,48066,Vallejo Nissan,Non-Networked,Vallejo,CA,38.118051,-122.255474,private,J1772,1,150,62,medium,5,8
CF-ST-48067,48067,Nissan of Van Nuys,Non-Networked,Sherman Oaks,CA,34.16924,-118.44896,private,J1772,1,11,89,high,2,7
CF-ST-48068,48068,Valley Hi Nissan,Non-Networked,Victorville,CA,34.517652,-117.321678,private,J1772,1,50,91,high,4,10
CF-ST-48071,48071,West Covina Nissan,Non-Networked,West Covina,CA,34.074482,-117.891502,private,J1772,1,150,71,medium,7,8
CF-ST-48120,48120,Universal City Nissan,Non-Networked,Los Angeles,CA,34.133446,-118.356601,private,J1772,1,50,36,low,6,5
